211	0.00002989	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
212	0.00001823	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 39 	
213	0.00002898	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
214	0.00001858	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 30 	
215	0.00003108	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
216	0.00002011	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 35 	
217	0.00002905	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
218	0.00001816	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 42 	
219	0.00003066	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
220	0.00001725	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 4F 	
221	0.00002500	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
222	0.00001704	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 30 	
223	0.00003052	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
224	0.00001823	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 31 	
225	0.00005371	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
226	0.00001425	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 33 	
227	0.00001502	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
228	0.00001236	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 39 	
229	0.00001767	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
